VSM21-SV7-1_A,VSM21-BL1-2_A,VSM21-TA7-2_A,VSM21-SV1-1_A ,VSM21-BL9-1,VSM21-TA7-3_A ,VSM21-BL1-1,VSM21-SV7-2,VIO-30-8-RNA-2,VSM21-BL9-2,VIO-44-5-RNA-2,VIO-12-4-RNA,SSW,VIO-6-5-RNA-1,VIO-30-2-RNA-2,SSW_B,VIO-32-6-RNA2 ,VSM21-SV1-2_A,transcript_name,classification_level,full_classification,classification,max_pid,ambiguous,counts,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,dab_name
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rnaspades_HM46_NODE_461944_length_238_cov_3.365079_g445672_i0_HM46_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,127,0,,"",,,"","","","","","","","","","","","","","","","","",DabC
0,0,0,0.00977,0,0,0.012147,0.026764,0.026764,0,0,0,0,0,0.064768,0,0,0,rnaspades_HM58_NODE_219845_length_340_cov_2.443299_g207328_i0_HM58_merged.fasta.p1,order,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales,Bacillariales,114,0,,"",,,"","","","","","","","","","","","","","","","","",DabB
0,0,0,0,0,0,0,0.089441,0.089441,0,0,0,0,0,0.120868,0,0,0.071796,rnaspades_HM58_NODE_27686_length_1326_cov_9.375098_g21402_i0_HM58_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,725,0,,"",,,"","","","","","","","","","","","","","","","","",DabA
0,0.033077,0,0,0,0,0.043894,0.028658,0.028658,0,0,0,0.012848,0.014786,0,0,0,0,rnaspades_env_BL_21_a_NODE_380280_length_537_cov_6.198770_g327457_i0_env_BL_21_a_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,243,0,,4558.Sb04g037510.1,3.4e-06,52.8,"COG3491@1|root,KOG0143@2759|Eukaryota,37S4R@33090|Viridiplantae,3GEB9@35493|Streptophyta,3M608@4447|Liliopsida,3IF5R@38820|Poales",35493|Streptophyta,Q,Belongs to the iron ascorbate-dependent oxidoreductase family,-,-,-,-,-,-,-,-,-,-,-,-,"2OG-FeII_Oxy,DIOX_N",DabC
0,0.012914,0,0,0.063245,0,0.014672,0,0,0,0,0,0,0,0,0,0,0,rnaspades_env_BL_21_a_NODE_819262_length_309_cov_2.323077_g765513_i0_env_BL_21_a_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,197,0,,"",,,"","","","","","","","","","","","","","","","","",DabA
0,0.031429,0,0.03146,0.067093,0,0.028445,0.108134,0.108134,0.058529,0,0,0,0.027739,0.017482,0,0.05275,0,rnaspades_env_BL_21_a_NODE_87421_length_1580_cov_13.295232_g59121_i0_env_BL_21_a_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,811,0,,"",,,"","","","","","","","","","","","","","","","","",DabA
0.011161,0,0,0.020736,0,0,0,0,0,0,0,0.020311,0,0.019075,0,0.010251,0,0,rnaspades_inc_c_NODE_155927_length_885_cov_5.240431_g117069_i0_inc_c_merged.fasta.p1,species,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia; Pseudo-nitzschia australis,Pseudo-nitzschia australis,513,0,,983544.Lacal_2540,1.7e-08,62.4,"COG3491@1|root,COG3491@2|Bacteria,4NED5@976|Bacteroidetes,1HWU5@117743|Flavobacteriia",976|Bacteroidetes,C,Belongs to the iron ascorbate-dependent oxidoreductase family,-,-,-,-,-,-,-,-,-,-,-,-,"2OG-FeII_Oxy,DIOX_N",DabC
0.131404,0,0,0,0,0,0,0,0,0,0,0.031564,0,0,0,0,0,0.06075,rnaspades_inc_c_NODE_66907_length_1657_cov_8.034826_g41859_i0_inc_c_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,811,0,,"",,,"","","","","","","","","","","","","","","","","",DabA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rnaspades_inc_d_NODE_165515_length_825_cov_7.779639_g128838_i0_inc_d_merged.fasta.p1,species,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia; Pseudo-nitzschia australis,Pseudo-nitzschia australis,496,0,,616991.JPOO01000003_gene697,5.2e-08,60.8,"COG3491@1|root,COG3491@2|Bacteria,4NED5@976|Bacteroidetes,1HWU5@117743|Flavobacteriia,23FYS@178469|Arenibacter",976|Bacteroidetes,C,2OG-Fe(II) oxygenase superfamily,-,-,-,-,-,-,-,-,-,-,-,-,"2OG-FeII_Oxy,DIOX_N",DabC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rnaspades_inc_d_NODE_94114_length_1273_cov_5.249183_g65432_i0_inc_d_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,721,0,,"",,,"","","","","","","","","","","","","","","","","",DabA
0.009998,0.006303,0,0,0.007721,0,0.0143,0.008111,0.008111,0,0,0,0,0,0.02323,0,0,0.029492,rnaspades_inc_dg_NODE_346526_length_455_cov_1.869458_g303333_i0_inc_dg_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,276,0,,"",,,"","","","","","","","","","","","","","","","","",DabB
0.014437,0.009316,0,0.016734,0.00508,0,0.013945,0.058185,0.058185,0.011615,0,0.019745,0.001333,0.00945,0.033412,0,0.011355,0.024459,rnaspades_inc_dg_NODE_59185_length_1822_cov_2.975747_g37356_i0_inc_dg_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,996,0,,159749.K0QZV4,7.3e-85,289.3,"COG2124@1|root,KOG0157@2759|Eukaryota",2759|Eukaryota,Q,iron ion binding,-,"GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0016491,GO:0055114",-,-,-,-,-,-,-,-,-,-,p450,DabD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rnaspades_inc_dgn_NODE_176534_length_840_cov_4.063211_g136849_i0_inc_dgn_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,455,0,,"",,,"","","","","","","","","","","","","","","","","",DabA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rnaspades_inc_dgn_NODE_2059052_length_159_cov_2.781818_g2013984_i0_inc_dgn_merged.fasta.p2,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,108,0,,"",,,"","","","","","","","","","","","","","","","","",DabB
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rnaspades_inc_ds_NODE_73098_length_1598_cov_6.357650_g46064_i0_inc_ds_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,716,0,,"",,,"","","","","","","","","","","","","","","","","",DabA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rnaspades_inc_dsn_NODE_555791_length_294_cov_3.665306_g515704_i0_inc_dsn_merged.fasta.p1,species,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia; Pseudo-nitzschia australis,Pseudo-nitzschia australis,205,0,,"",,,"","","","","","","","","","","","","","","","","",DabC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rnaspades_inc_n_NODE_1066565_length_202_cov_1.000000_g1031280_i0_inc_n_merged.fasta.p2,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,85.5,0,,"",,,"","","","","","","","","","","","","","","","","",DabA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016452,0,0,0,rnaspades_inc_n_NODE_131254_length_929_cov_5.957955_g102005_i0_inc_n_merged.fasta.p1,species,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia; Pseudo-nitzschia australis,Pseudo-nitzschia australis,499,0,,616991.JPOO01000003_gene697,9.7e-08,60.1,"COG3491@1|root,COG3491@2|Bacteria,4NED5@976|Bacteroidetes,1HWU5@117743|Flavobacteriia,23FYS@178469|Arenibacter",976|Bacteroidetes,C,2OG-Fe(II) oxygenase superfamily,-,-,-,-,-,-,-,-,-,-,-,-,"2OG-FeII_Oxy,DIOX_N",DabC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rnaspades_inc_n_NODE_173321_length_747_cov_1.580229_g141020_i0_inc_n_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,442,0,,588596.U9T384,9e-22,100.5,"COG2124@1|root,KOG0157@2759|Eukaryota,38BG9@33154|Opisthokonta,3NXAM@4751|Fungi",4751|Fungi,IQ,cytochrome P450,-,-,-,-,-,-,-,-,-,-,-,-,"EVE,p450",DabD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rnaspades_inc_n_NODE_1887086_length_157_cov_3.518519_g1851800_i0_inc_n_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,102,0,,"",,,"","","","","","","","","","","","","","","","","",DabB
0,0,0,0,0,0,0,0.1551,0.1551,0,0,0,0,0,0,0,0,0,rnaspades_inc_n_NODE_325437_length_450_cov_8.992519_g290339_i0_inc_n_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,212,0,,4558.Sb04g037510.1,2.3e-06,52.8,"COG3491@1|root,KOG0143@2759|Eukaryota,37S4R@33090|Viridiplantae,3GEB9@35493|Streptophyta,3M608@4447|Liliopsida,3IF5R@38820|Poales",35493|Streptophyta,Q,Belongs to the iron ascorbate-dependent oxidoreductase family,-,-,-,-,-,-,-,-,-,-,-,-,"2OG-FeII_Oxy,DIOX_N",DabC
0,0.073906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rnaspades_inc_n_NODE_85993_length_1267_cov_5.724138_g62061_i0_inc_n_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,723,0,,"",,,"","","","","","","","","","","","","","","","","",DabA
0,0,0,0,0,0,0.074011,0,0,0.056081,0,0,0.014287,0,0,0,0.082897,0,rnaspades_inc_s_NODE_205468_length_807_cov_7.426121_g154600_i0_inc_s_merged.fasta.p1,species,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia; Pseudo-nitzschia australis,Pseudo-nitzschia australis,499,0,,616991.JPOO01000003_gene697,9.7e-08,60.1,"COG3491@1|root,COG3491@2|Bacteria,4NED5@976|Bacteroidetes,1HWU5@117743|Flavobacteriia,23FYS@178469|Arenibacter",976|Bacteroidetes,C,2OG-Fe(II) oxygenase superfamily,-,-,-,-,-,-,-,-,-,-,-,-,"2OG-FeII_Oxy,DIOX_N",DabC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rnaspades_inc_s_NODE_716147_length_299_cov_1.584000_g659260_i0_inc_s_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,187,0,,"",,,"","","","","","","","","","","","","","","","","",DabB
